Seed,Algorithm,dataset,time,train_f1,val_f1,acc,val_acc,bin_acc,val_bin_acc,train_loss,val_loss
8,RNN,Text,0:00:15.478507,0.9960895447741239,0.6390172576904297,0.9961146846461526,0.61375,0.9961146846461526,0.9961146846461526,0.031315156197752346,0.8654708456993103
8,CNN,Text,0:00:16.442925,0.32392235584197704,0.26233296275138857,0.5116559490641341,0.5090625,0.5116559490641341,0.5116559490641341,7.838546506078297,7.88859260559082
8,Shallow,Image,0:00:53.691816,0.0,0.0,0.776666671037674,0.7349999976158142,0.776666671037674,0.776666671037674,0.5520764688650767,0.5601182651519775
8,Deep,Image,0:00:50.356113,0.024444441000620525,0.0,0.7800000051657359,0.7349999976158142,0.7800000051657359,0.7800000051657359,0.5849516173203786,0.6065046948194504
8,CNN,Image,0:01:00.380485,0.8787441909313202,0.860256325006485,0.9483333249886831,0.9389999890327454,0.9483333249886831,0.9483333249886831,0.14040861918280523,0.1507819176465273
8,LSTM,Image,0:00:54.164996,0.0,0.0,0.0,0.0,0.0,0.0,3.5728444894154867,4.271295323371887
8,RNN,Image,0:00:50.253401,0.0,0.0,0.7783333381017049,0.7349999976158142,0.7783333381017049,0.7783333381017049,0.5817428678274155,0.6070671957731247
8,Shallow,TimeSeries,0:00:03.670358,0.0,0.0,0.7995525728936164,0.7943632465812508,0.7995525728936164,0.7995525728936164,0.5879587095589179,0.5854275854992718
8,Deep,TimeSeries,0:00:04.139908,0.0,0.0,0.7995525728936164,0.7943632465812508,0.7995525728936164,0.7995525728936164,0.45724516480294386,0.43274335280091875
8,CNN,TimeSeries,0:00:03.497027,0.6014556768919607,0.5276150481471457,0.8746081514578468,0.8608786518603688,0.8746081514578468,0.8746081514578468,0.2802466724653496,0.36830742102287806
8,LSTM,TimeSeries,0:00:05.200828,0.4281177063373723,0.47696357466685724,0.8325123138028413,0.8326359720409665,0.8325123138028413,0.8325123138028413,0.3769764990962465,0.425553203127873
8,RNN,TimeSeries,0:00:03.879968,0.5007185059121196,0.48587665797277474,0.8459471540498029,0.8357740580786223,0.8459471540498029,0.8459471540498029,0.3541958207941034,0.389441682953216
9,Shallow,Easy,0:00:05.485207,0.6597090557630333,0.7074960379200127,0.7679083095125164,0.7824427485466003,0.7679083095125164,0.7679083095125164,0.5093236040989331,0.47612413058754144
9,Deep,Easy,0:00:08.396505,0.4463807802287988,0.42618254213842727,0.6466093601333378,0.7175572523633942,0.6466093601333378,0.6466093601333378,1.3233492228681971,0.5403014375963284
9,LSTM,Easy,0:00:10.053703,0.0,0.0,0.08787010490552744,0.053435114617566115,0.08787010490552744,0.08787010490552744,6.1578206524124806,6.151944837497391
9,RNN,Easy,0:00:06.706680,0.7673834961943093,0.6730438944037634,0.836676217594256,0.7786259546534706,0.836676217594256,0.836676217594256,0.4052454594668595,0.43214195329724375
9,CNN,Easy,0:00:13.342583,0.7294435731376367,0.6795166275883449,0.8175740210693454,0.7862595424397301,0.8175740210693454,0.8175740210693454,0.40342667454065545,0.4567699505172613
9,Shallow,Big,0:01:01.790981,0.27814465403731425,0.28063929644759744,0.9989015067915973,0.9988530365272755,0.9989015067915973,0.9989015067915973,0.014330808156433244,0.016600958611630513
9,Deep,Big,0:01:50.288465,0.17341987039239187,0.21784857207522257,0.9962881964695415,0.9987477031471274,0.9962881964695415,0.9962881964695415,0.05874074901199692,0.019907215409403108
9,CNN,Big,0:12:06.718186,0.528708021550033,0.46833831432440703,0.9997943460203447,0.9994382219725431,0.9997943460203447,0.9997943460203447,0.0007821592123546764,0.004701097547670372
9,LSTM,Big,0:02:28.501201,0.48281529518936134,0.4867146967050128,0.005663008366503034,0.004037779572144828,0.005663008366503034,0.005663008366503034,0.006903921826559944,0.008457078453524688
9,RNN,Big,0:01:07.671678,0.46686820305000565,0.48072239881697904,0.9995184687305632,0.9994499256814484,0.9995184687305632,0.9995184687305632,0.0024725981122908276,0.002970971197105787
9,Shallow,Text,0:00:04.863165,0.560353576562029,0.48187248229980467,0.5050911046684363,0.503125,0.5050911046684363,0.5050911046684363,0.712607275251407,0.6977223467826843
9,Deep,Text,0:00:06.152906,0.666827254101139,0.6618755507469177,0.5002679530319549,0.4953125,0.5002679530319549,0.5002679530319549,7.807581928126426,7.531626434326172
9,LSTM,Text,0:00:51.338400,0.950014037909615,0.6909554266929626,0.5243837095533537,0.57,0.5243837095533537,0.5243837095533537,0.6385694096006637,1.6960930347442627
9,RNN,Text,0:00:17.817601,0.8483286127527938,0.5910115003585815,0.8595927107883548,0.6571875,0.8595927107883548,0.8595927107883548,0.30771001723034974,0.8027008104324341
9,CNN,Text,0:00:18.437057,0.6427217415930246,0.6263561511039734,0.5235798504574889,0.5053125,0.5235798504574889,0.5235798504574889,7.507802004471725,7.790133857727051
9,Shallow,Image,0:00:56.987646,0.0,0.0,0.7783333381017049,0.7349999976158142,0.7783333381017049,0.7783333381017049,0.5609322428703308,0.5855482673645019
9,Deep,Image,0:00:53.421326,0.0,0.0,0.7783333381017049,0.7349999976158142,0.7783333381017049,0.7783333381017049,0.5749798307816187,0.6078445386886596
9,CNN,Image,0:01:04.201529,0.8367411881685257,0.8953827774524689,0.9299999952316285,0.951999990940094,0.9299999952316285,0.9299999952316285,0.17226565399517615,0.14288194946944713
9,LSTM,Image,0:01:00.314168,0.3560236612955729,0.4096690231561661,0.0,0.0,0.0,0.0,12.408489863077799,11.717653274536133
9,RNN,Image,0:00:54.138707,0.0,0.0,0.7783333381017049,0.7349999976158142,0.7783333381017049,0.7783333381017049,0.5499606311321259,0.5899259942770004
9,Shallow,TimeSeries,0:00:05.410171,0.0,0.0,0.8004474264930025,0.792275561793612,0.8004474264930025,0.8004474264930025,0.5700883154901082,0.5697844007318851
9,Deep,TimeSeries,0:00:06.414426,0.0,0.0,0.8004474264930025,0.792275561793612,0.8004474264930025,0.8004474264930025,0.39399354935225755,0.3848826923176242
9,CNN,TimeSeries,0:00:05.830344,0.641632417499672,0.5435348202992683,0.8786386022426812,0.8661087893541887,0.8786386022426812,0.8786386022426812,0.2664709472891145,0.3858371277234544
9,LSTM,TimeSeries,0:00:07.547786,0.42032049177902675,0.4324852726948311,0.8334079700577596,0.8368200844301839,0.8334079700577596,0.8334079700577596,0.36403086569295356,0.40098288605402704
9,RNN,TimeSeries,0:00:06.141285,0.5392500470157594,0.5147259587024545,0.8589341672236643,0.8483263555929751,0.8589341672236643,0.8589341672236643,0.34137291898654815,0.375539149449959
10,Shallow,Easy,0:00:08.595972,0.6139517708289247,0.6627846564955384,0.734479464967704,0.7480916035084324,0.734479464967704,0.734479464967704,0.5556044363645337,0.5115826079863628
10,Deep,Easy,0:00:10.777849,0.32587995629939104,0.6690340042114258,0.6332378226342151,0.6374045801526718,0.6332378226342151,0.6332378226342151,1.9533952513305823,1.8191759699514805
10,LSTM,Easy,0:00:13.813807,0.754737056542718,0.724445816214758,0.8280802286570712,0.767175572519084,0.8280802286570712,0.8280802286570712,0.4073914919678325,0.6786941153402547
10,RNN,Easy,0:00:12.303595,0.7500206511022938,0.7258823586784247,0.8290353390639924,0.7977099232091248,0.8290353390639924,0.8290353390639924,0.40554058379578156,0.4493916041523446
10,CNN,Easy,0:00:17.287024,0.7470152017152526,0.7713662941037244,0.8280802290555741,0.816793893129771,0.8280802290555741,0.8280802290555741,0.3947835048552115,0.4438264849986739
10,Shallow,Big,0:01:26.881453,0.31588947573743487,0.30383805121525875,0.9988262675355314,0.9990637032987334,0.9988262675355314,0.9988262675355314,0.012018197373938416,0.012492469698936415
10,Deep,Big,0:02:14.668247,0.2628090286859528,0.1901841285574932,0.9985253104873498,0.9988062217028156,0.9985253104873498,0.9985253104873498,0.0226591765603306,0.01818942083067469
10,CNN,Big,0:12:38.960384,0.5112522325774348,0.43027041558908624,0.9996689472522622,0.9994616294015153,0.9996689472522622,0.9996689472522622,0.0014105651269622837,0.0038992606750565353
10,LSTM,Big,0:03:00.697193,0.4783576934257874,0.4116322836205889,0.00318011275857226,0.0020130379315189137,0.00318011275857226,0.00318011275857226,0.006188740339802316,0.006042686438398868
10,RNN,Big,0:01:28.923684,0.45137767868668066,0.3998141374582488,0.9994081178146506,0.999403110845827,0.9994081178146506,0.9994081178146506,0.002669661039569348,0.002841700980646832
10,Shallow,Text,0:00:07.388994,0.3430838952397994,0.33967282593250275,0.5072347273908372,0.499375,0.5072347273908372,0.5072347273908372,0.7064036237592993,0.6976395988464356
10,Deep,Text,0:00:08.742284,0.3733122709735286,0.6780271697044372,0.49611468394341834,0.513125,0.49611468394341834,0.49611468394341834,6.397464414373727,7.2861175537109375
10,LSTM,Text,0:00:53.834427,0.9677063496294257,0.7323719215393066,0.6334405145333383,0.5321875,0.6334405145333383,0.6334405145333383,0.12433628606163803,1.8009680461883546
